゛,Lv	⺀
亻爫工彐心,KjToNvNg	㒚
亻羽隹,KjEhVh	㒛
亻一ㄅ丨,KjWiFhVy	㒜
亻艹罒戊丶,KjWhYtOe	㒝
亻山隹,KjDsVhZv	㒞
亻衣馬,KjOrGb	㒟
亻歺又非一,KjQmWiFh	㒠
亻爫缶丿糸,KjToUsHt	㒡
亻龠,KjSy	㒢
亻广亻隹心,KjGpKjNg	㒣
亻耳耳耳,KjQgQgQg	㒤
亻山丰丰豆,KjDsZhEi	㒥
亻田田田土,KjSlSlBm	㒦
亻亠㐅凵禸隹,KjUeOsVh	㒧
亻丿龱大巳,KjWiCkDu	㒨
亻彑虫虫,KjSiKtJw	㒩
人臣臣止豕,SiDzDzKt	㒪
儿,SiAh	㒫
二儿王,RlAhGi	㒬
口儿口儿,IqAhIqAh	㒭
二儿豕,RlAhKt	㒮
光艹艹,SjWhPcWh	㒯
入工,XjNv	㒰
入夕,XjXu	㒱
入日,XjJe	㒲
冂丨入入,ZvKsXjXj	㒳
入屮凵,XjIaZv	㒴
白八,DyVy	㒵
八白,VyDy	㒶
冂人,ZvSiVy	㒷
丷豕,VyKt	㒸
十目十目,GlGyVyVy	㒹
冂䒑亾,ZvVyXc	㒺
⺜見,JeSc	㒻
廿巾入入,XkUwXjXj	㒼
⺜丷夫⺋,JeVySvWj	㒽
⺜方𠂉也,JeMxLdHe	㒾
⺜亠㐅凵禸隹,JeUeOsVh	㒿
冖卜,ErDh	㓀
冖八,ErVy	㓁
冖二儿女,ErRlAhSm	㓂
冖言丿七,ErMeCkLn	㓃
厶厶厶人彡冖儿,NdNdNdAh	㓄
冫丁,LvUe	㓅
冫仑,LvHv	㓆
冫丿大,LvCkXi	㓇
冫石,LvQq	㓈
冫舌,LvVl	㓉
冫冂一口,LvZvFhIq	㓊
冫龷八,LvXkVy	㓋
冫人王,LvSiGi	㓌
冫儿,LvPdAh	㓍
冫彐冖又,LvSiErWi	㓎
冫冂八口,LvZvVyIq	㓏
冫土八土,LvBmVyBm	㓐
冫土,LvBmId	㓑
冫七人⺗,LvLnSiNg	㓒
冫十冂,LvGlZvId	㓓
冫身寸,LvLcLw	㓔
冫戊一火,LvUcFhYv	㓕
冫田艹,LvSlWhPc	㓖
冫丰刀糸,LvZhKgHt	㓗
几歹王丶,PsQmGiOe	㓘
文凵,WmZv	㓙
工刂,NvKg	㓚
工刀,NvKg	㓛
幺刀,BlKg	㓜
井刂,BzKg	㓝
丰刀,ZhKg	㓞
皮刂,EmKg	㓟
⺊口刂,DhIqKg	㓠
缶刂,UsKg	㓡
各刂,QyKg	㓢
亼口刂,TuIqKg	㓣
士口刂,MfIqKg	㓤
⺌彐刂,OtSiKg	㓥
一白刂,FhDyKg	㓦
亽ヿ口刂,TuPvIqKg	㓧
大人人刂,XiSiSiKg	㓨
⺈用刂,RlQlKg	㓩
丶刀,OeTpKg	㓪
大一廾刂,XiFhWhKg	㓫
丷夫刀刂,VySvKgKg	㓬
日勹亾刂,JeSnXcKg	㓭
⺆土口刂,ZvBmIqKg	㓮
巛田刂,JvSlKg	㓯
一由凵刂,FhIsZvKg	㓰
亼⺝刂刂,TuMdKgKg	㓱
户𠕁刂,FkJzKg	㓲
日疋刂,JeKfKg	㓳
而大刂,UaXiKg	㓴
吅二ㄅ刂,RuRlPvKg	㓵
丰刀大刂,ZhKgXiKg	㓶
自木刂,CjAjKg	㓷
刂,WuKg	㓸
厂火火刂,OyYvYvKg	㓹
虍文刂,QbWmKg	㓺
罒一止刂,YtFhLdKg	㓻
木人氺刂,AjSiHgKg	㓼
山宀示刂,DsErDdKg	㓽
尸氺牛刂,MzHgLzKg	㓾
禾人氺刂,ZpSiHgKg	㓿
日小刂,JeWnOtKg	㔀
癶豆刂,VyEiKg	㔁
米夕㐄刂,MgXuGjKg	㔂
糹⺈巴刀,HtRlEwKg	㔃
覀米刂,QpMgKg	㔄
肀片爿一刂,UaNbNbKg	㔅
旡旡日刂,UeUeJeKg	㔆
癶弓殳刂,VyOdQiKg	㔇
艹非刂,WhDmKg	㔈
尸丿口⽱刂,MzCkIqKg	㔉
亠囗口日一刂,UeUdIqKg	㔊
臣皿刂,DzZiBkKg	㔋
耳又丿刂,QgWiCkKg	㔌
⺮目廾刂,ZiGyWhKg	㔍
丿㠯辛刀,IaCkUsKg	㔎
石石石刂,QqQqQqKg	㔏
⺮一非一刂,ZiFhDmKg	㔐
艹丿㠯辛刀,WhCkUsKg	㔑
山隹冂八口刂,DsVhZvKg	㔒
千力,HcAu	㔓
力口〇,AuIqIq	㔔
气力,FqAu	㔕
力口ヿ,AuIqPv	㔖
弗力,UvAu	㔗
屮凵力,IaZvAu	㔘
䒑廾力,VyWhAu	㔙
舌力,VlAu	㔚
士口力,MfIqAu	㔛
爫子力,ToYdAu	㔜
一巾入入力,FhUwXjAu	㔝
千匕力,HcNbHsAu	㔞
生丸力,DhTkAu	㔟
日勹亾力,JeSnXcAu	㔠
丿龱匕力,CkLwHsAu	㔡
糹⺈巴力,HtRlEwAu	㔢
田田田力,SlSlSlAu	㔣
宀丿米田力,ErCkMgAu	㔤
罒厶⺝匕力,YtNdMdAu	㔥
⺶㇏丶艮力,IdOeOeAu	㔦
虍田皿力,QbSlBkAu	㔧
勹匕⺝,SnNbHsMd	㔨
勹土厶皿,SnBmNdBk	㔩
勹⺊𱕻,SnDhLw	㔪
𠂇匕,GlHs	㔫
匕日十,HsJeGl	㔬
日疋,HsJeKf	㔭
廿口夫厶⺝匕,XkIqSvHs	㔮
匚几口,EhPsIq	㔯
匚夕卜,EhXuDh	㔰
匚臼人,EhWiSi	㔱
匚飠九,EhOzDp	㔲
匚飠几,EhOzPs	㔳
匚田龷八,EhSlXkVy	㔴
匚巳巳龷八,EhDuDuVy	㔵
匚音十夂工貝,EhArGlIc	㔶
匚一冂人,EhFhZvSi	㔷
匚⺁虎,EhOyQb	㔸
十力,GlAu	㔹
十十⺃,GlGlPv	㔺
不十,CiGl	㔻
扌隹十,PcVhGl	㔼
⺊囗口,DhUdIq	㔽
㔾,Wj	㔾
一丩,FhHt	㔿
由⺋,IsWj	㕀
㐅𠂇厶卩,OsGlNdWj	㕁
厂亽ヿ,OyTuPv	㕂
厂一廾,OyFhWh	㕃
厂一幺,OyFhBl	㕄
厂甲,OySt	㕅
厂古,OyQm	㕆
厂立,OyYq	㕇
厂衣,OyOr	㕈
厂亼口,OyTuIq	㕉
厂甫,OyGn	㕊
厂金,OyTk	㕋
厂日一寸,OyJeFhLw	㕌
厂隹,OyVh	㕍
厂土厶皿,OyBmNdBk	㕎
厂豆斗,OyEiPf	㕏
厂臼勹灬,OyWiSnYv	㕐
厂壴寸,OyHsLw	㕑
厂⺷丿扌,OyIdCkIe	㕒
厂黑土,OyUcBm	㕓
厂耳王十罒一心,OyQgGiNg	㕔
厶厶,NdNd	㕕
厶厶厶木,NdNdNdAj	㕖
⺷㇏厶,IdRlOeNd	㕗
厶厶厶人小,NdNdNdOt	㕘
厶八夂兔,NdVyJtZh	㕙
又丶丶,WiOeOe	㕚
又又,WiWi	㕛
口丨又,IqKsWi	㕜
古又,QmWi	㕝
尸巾又,MzUwWi	㕞
⺊𠕁又,DhJzWi	㕟
冫隹又,LvVhWi	㕠
谷又,QmPuWi	㕡
貝又,QmIcWi	㕢
八口,VyIq	㕣
口九,IqDp	㕤
口人,IqSi	㕥
口大,IqXi	㕦
口尸,IqMz	㕧
口几丶,IqPsOe	㕨
口丰,IqZh	㕩
口冖儿,IqErAh	㕪
口方,IqMx	㕫
口八厶,IqVyNd	㕬
口丿大,IqCkXi	㕭
口八乂,IqVyOs	㕮
冂人口,ZvSiIq	㕯
口毛,IqOu	㕰
口尤,IqGh	㕱
口木,IqAj	㕲
口㐅凵,IqOsZv	㕳
口冖几,IqErPs	㕴
口王,IqGi	㕵
口五,IqJi	㕶
口白,IqDy	㕷
口立,IqYq	㕸
口𠂇又丶,IqGlWiOe	㕹
吅一ㄅ,RuFhPv	㕺
丶不口,OeCiIq	㕻
口勹乂㇗,IqSnOsPv	㕼
口人,IqHsSi	㕽
小口匕,OtIqHs	㕾
禾口,ZpIq	㕿
口聿,IqUa	㖀
口㐅𠂇厶,IqOsGlNd	㖁
口日㇂丿,IqJePvCk	㖂
口⺁一口,IqOyFhIq	㖃
口川,IqJvJv	㖄
口戊一,IqUcFh	㖅
口曲,IqRw	㖆
口而,IqUa	㖇
老口,RiIq	㖈
口人止,IqSiLd	㖉
口彐寸,IqSiLw	㖊
人口匕,SiKgIqHs	㖋
亻九口匕,KjDpIqHs	㖌
斗口匕,PfIqHs	㖍
口匕人,IqHsSiKg	㖎
口日土,IqJeBm	㖏
吅丿,RuSiCk	㖐
口戈廾,IqIeWh	㖑
口丷𢎨,IqVyUv	㖒
口夂丰,IqJtZh	㖓
口一大口,IqFhXiIq	㖔
口辛,IqJt	㖕
辛口,JtIq	㖖
口山亽ヿ,IqDsTuPv	㖗
口辰,IqQn	㖘
力口口匕,AuIqIqHs	㖙
亻寸口匕,KjLwIqHs	㖚
古口匕,QmIqHs	㖛
口匕,WnIqHs	㖜
未口匕,JxIqHs	㖝
口口冂人,IqIqZvSi	㖞
口爫冖又,IqToErWi	㖟
口大示,IqXiDd	㖠
口亠亻,IqUeKjMd	㖡
口广止匕,IqGpLdHs	㖢
口立口,IqYqIq	㖣
口乛氺凵,IqPvHgZv	㖤
口囗禾,IqUdZp	㖥
口木日,IqAjJe	㖦
口氏日,IqQuJe	㖧
口氺,IqSiHg	㖨
口耳又,IqQgWi	㖩
口戈口一,IqIeIqFh	㖪
口土八夂,IqBmVyJt	㖫
口臼又,IqWiWi	㖬
口一大⺗,IqFhXiNg	㖭
口侖,IqSy	㖮
冂一口口匕,ZvFhIqHs	㖯
口匕冂一口,IqHsZvIq	㖰
亠亻口,UeKjMdIq	㖱
女口口匕,SmIqIqHs	㖲
氵女口匕,HgSmIqHs	㖳
口艹勹,IqWhSnBl	㖴
口目,IqGyVy	㖵
口覀土,IqQpBm	㖶
口日疋,IqJeKf	㖷
口虍,IqQbSi	㖸
口八刀皿,IqVyKgBk	㖹
口㇏日,IqZhOeJe	㖺
口予丿木,IqMaCkAj	㖻
口甘木,IqMzAj	㖼
口頁,IqWv	㖽
吅䒑,RuVyIa	㖾
口耳阝,IqQgTj	㖿
口山幺幺,IqDsBlBl	㗀
口吅二ㄅ,IqRuRlPv	㗁
口小丿目,IqOtCkGy	㗂
口民日,IqNsJe	㗃
口罒方,IqYtMx	㗄
口古月,IqQmMd	㗅
口革,IqGo	㗆
口二コ又,IqMzRlWi	㗇
口龴用力,IqNdQlAu	㗈
丰刀各,ZhKgQy	㗉
吅吅,RuRu	㗊
口⺈厂矢,IqRlOyEu	㗋
口宀至,IqErCy	㗌
口禾日,IqZpJe	㗍
口力口木,IqAuIqAj	㗎
口不一止,IqCiFhLd	㗏
口大丶皿,IqXiOeBk	㗐
口一丰,IqPcFhZh	㗑
口衣口,IqOrIq	㗒
口丿㠯辶,IqCkUsLt	㗓
口虍文,IqQbWm	㗔
口井王冂,IqBzGiZv	㗕
口爫臼,IqToWi	㗖
口力白丿十,IqAuDyGl	㗗
口甫寸,IqGnLw	㗘
口勹勹,IqSnIaIa	㗙
口覀木,IqQpAj	㗚
口⺮丿大,IqZiCkXi	㗛
口亠幺田,IqUeBlSl	㗜
口⺷灬,IqIdYv	㗝
口石皮,IqQqEm	㗞
氵丶王口匕,HgOeGiHs	㗟
女厶口口匕,SmNdIqHs	㗠
艹亻乃口匕,WhKjViHs	㗡
口千里力,IqHcDnAu	㗢
口冖巾,IqDsErUw	㗣
戊⺊一小口,UcDhFhIq	㗤
口子阝,IqWnYdTj	㗥
口耳卯,IqQgFm	㗦
口穴至,IqZiCy	㗧
匚矢殳口,EhEuQiIq	㗨
口羽白,IqEhDy	㗩
口止匕糸,IqLdHsHt	㗪
口示,IqVyDd	㗫
夕夕,XyXuXu	㗬
口丿米心,IqCkMgNg	㗭
夕口广人,XuIqGpSi	㗮
耂日口匕,RiJeIqHs	㗯
口彳人人龰,IqJbSiLd	㗰
口隹木,IqVhAj	㗱
口聿田一,IqUaSlFh	㗲
口⺮亼口,IqZiTuIq	㗳
口門月,IqAcMd	㗴
口火火欠,IqYvYvFy	㗵
口癶弓殳,IqVyOdQi	㗶
口宀井一贝,IqErBzDj	㗷
口行缶,IqFjUs	㗸
口隹心,IqVhNg	㗹
口一大非,IqFhXiDm	㗺
口冎口辶,IqFvIqLt	㗻
口业䒑未,IqOqVyJx	㗼
乡丶阝口,FfOeTpIq	㗽
口革亻匕,IqGoKjHs	㗾
口門可,IqAcZj	㗿
口臼米,IqWiMg	㘀
口罒土,IqYtBmId	㘁
口䒑幺幺心,IqVyBlNg	㘂
口艹𠂇口心,IqWhGlNg	㘃
口木罒方,IqAjYtMx	㘄
口行金,IqFjTk	㘅
口士口冖至,IqMfIqCy	㘆
口火火冖木,IqYvYvAj	㘇
口匕矢龴疋,IqHsEuKf	㘈
口⺮卩,IqZiTpWj	㘉
口⻗言,IqTfMe	㘊
口臣又貝,IqDzWiIc	㘋
口虍豕刂,IqQbKtKg	㘌
口小隹戈,IqOtVhIe	㘍
口门ヿ耳攵,IqBoPvRy	㘎
䒑自辶口匕,VyCjLtHs	㘏
口馬六乂,IqGbCaOs	㘐
口士示氺,IqMfDdHg	㘑
禾千里口匕,ZpHcDnHs	㘒
口門束丷,IqAcUhVy	㘓
口宀井貝,IqErBzIc	㘔
口艹臣皿,IqWhDzBk	㘕
口厂彡頁,IqYqOyWv	㘖
口目目隹,IqGyGyVh	㘗
言糹糹口,MeHtHtIq	㘘
口吅厂ヿ耳攵,IqRuOyRy	㘙
口門ヿ耳攵,IqAcPvRy	㘚
口亼口立⺝{龍字边},IqTuIqIa	㘛
隹言隹口,VhMeVhIq	㘜
囗又,UdWi	㘝
囗力,UdAu	㘞
囗廾,UdWh	㘟
囗心丿,UdNgCk	㘠
囗甲,UdSt	㘡
囗光,UdSj	㘢
囗口⺝,UdIqMd	㘣
囗氵片爿一,UdHgNbFh	㘤
囗爫缶丿糸,UdToUsHt	㘥
土力,BmAu	㘦
土予,BmMa	㘧
土冂人,BmZvSi	㘨
土匕,BmHsHs	㘩
土毛,BmOu	㘪
土井,BmBz	㘫
土勹厶,BmSnNd	㘬
土幺𠃌,BmBlPv	㘭
土尸丶,BmMzOe	㘮
土𠂉力,BmLdAu	㘯
土斗,BmPf	㘰
土冂土,BmZvBm	㘱
土尸九,BmMzDp	㘲
匕土,NbHsBm	㘳
口人土,IqSiBm	㘴
土𠂇巾,BmGlUw	㘵
夕㐄土,XuGjBm	㘶
土艹乂,BmWhOs	㘷
歹匕土,QmHsBm	㘸
止匕土,LdHsBm	㘹
土亻戈,BmKjIe	㘺
土囗大,BmUdXi	㘻
土耂一ㄅ,BmRiFhPv	㘼
十戈土,GlIeBm	㘽
土宀一𬺰,BmErFhGl	㘾
土日土,BmJeBm	㘿
土穴九,BmZiDp	㙀
土𠂉母,BmLdQt	㙁
土丷口儿,BmVyIqAh	㙂
土,BmOzVy	㙃
土匕土,BmHsHsBm	㙄
土口木,BmIqAj	㙅
土宀𠂇厶,BmErGlNd	㙆
土豕丶,BmKtOe	㙇
土虎,BmQb	㙈
土𠕁,BmJzVy	㙉
土長,BmSi	㙊
土,BmMzVy	㙋
土肀八,BmUaKgVy	㙌
土又又又又,BmWiWiWi	㙍
土戊一女,BmUcFhSm	㙎
土𠂉日夂,BmLdJeJt	㙏
土山而,BmDsUa	㙐
丿口⽱土,CkIqFjBm	㙑
田予土,SlMaBm	㙒
土土土土,BmBmBmBm	㙓
土韋,BmIw	㙔
土田⺝,BmSlMd	㙕
土丿口⽱,BmCkIqFj	㙖
土田一,BmSlFhOr	㙗
土覀女,BmQpSm	㙘
氵龙土,HgJhBlBm	㙙
土⺷牛,BmIdLz	㙚
土甫寸,BmGnLw	㙛
高土,WnBm	㙜
土力力力⺝,BmAuAuMd	㙝
土自木,BmCjAj	㙞
土丶月,BmOeTpMd	㙟
匚矢殳土,EhEuQiBm	㙠
土彳人人龰,BmJbSiLd	㙡
土廿巾入入,BmXkUwXj	㙢
土弓長,BmOdSi	㙣
土虍丿丷𬺰,BmQbCkGl	㙤
土衣八厶,BmOrVyNd	㙥
人禾斗土,SiZpPfBm	㙦
土田,BmFmSl	㙧
土幺幺戈人,BmBlBlSi	㙨
土大丷日小,BmXiVyOt	㙩
土士冖豆,BmMfErEi	㙪
土隹木,BmVhAj	㙫
木人人犬土,AjSiSiBm	㙬
土厂䒑欠,BmOyVyFy	㙭
土⺮亼口,BmZiTuIq	㙮
土八土丸云,BmVyBmPd	㙯
⺈用刀牛土,RlQlKgBm	㙰
口一ㄅ虎土,IqFhPvBm	㙱
土亠乡隹,BmUeFfVh	㙲
土戊一口心,BmUcFhNg	㙳
土⺈厂八言,BmRlOyMe	㙴
土高土,BmWnBm	㙵
土,WnXyBm	㙶
土日幺幺灬,BmJeBlYv	㙷
土亻业⺶㇏,BmKjOqOe	㙸
土艹罒冖夕,BmWhYtXu	㙹
土匚虫貝,BmEhJwIc	㙺
土广里八土,BmGpDnBm	㙻
土田田田,BmSlSlSl	㙼
土大一白一白,BmXiFhDy	㙽
土乂乂冖子,BmWiOsYd	㙾
土⺷禾乃,BmIdZpVi	㙿
土虍豆戈,BmQbEiIe	㚀
土土土一儿土土土一儿,BmBmBmAh	㚁
土十口冖吅井一𧘇,BmGlIqOr	㚂
士冖㐅凵䒑,MfErOsVy	㚃
士冖田疋,MfErSlKf	㚄
夂一生,JtFhDh	㚅
亠日夂,UeJeJt	㚆
㐅凵八夂,OsZvVyJt	㚇
夕十,XuGl	㚈
乃夕夕,ViXuXu	㚉
夕夕亥,XuXuYg	㚊
夕夕⺆土口,XuXuZvIq	㚋
夕夕田木,XuXuSlAj	㚌
夕夕虫貝,XuXuJwIc	㚍
大凵,XiZv	㚎
大廾,XiWh	㚏
大大,XiXi	㚐
彐大,SiXi	㚑
大入入,XiXjXj	㚒
大木,XiAj	㚓
大,XiId	㚔
大弗,XiUv	㚕
白大,DyXi	㚖
大且,XiRh	㚗
夫夫,SvSv	㚘
力口大,AuIqXi	㚙
大夕口,XiXuIq	㚚
大匕日,XiHsJe	㚛
大戈口一,XiIeIqFh	㚜
大亻土土,XiKjBmBm	㚝
大木木,XiAjAj	㚞
匕匕大,ZhHsHsXi	㚟
大⺷灬,XiIdYv	㚠
大可大可,XiZjXiZj	㚡
亻女,KjSm	㚢
女女,SmSm	㚣
女弋,SmNd	㚤
女一𬺰,SmFhGl	㚥
女丌,SmWh	㚦
女广,SmGp	㚧
女⺄十,SmPvGl	㚨
女冂二,SmZvRl	㚩
女毛,SmOu	㚪
女及,SmKd	㚫
