⺀	(丶丶,OeOe,bīng_èr,部首補充)
⻢	(马,Xh,,部首補充)
⻣	(骨,Fv,,部首補充)
⻤	(鬼,By,,部首補充)
⻥	(鱼,Ei,,部首補充)
⻦	(鸟,Wl,,部首補充)
⻧	(⺊龱,DhLw,,部首補充)
⻨	(龶夂,ZhJt,,部首補充)
⻩	(黄,Bx,,部首補充)
⻪	(黾,Ay,,部首補充)
⻫	(斉,Ae,,部首補充)
⻬	(齐,Ae,,部首補充)
⻭	(歯,Yb,,部首補充)
⻮	(齿,Sg,,部首補充)
⻯	(竜,Jh,,部首補充)
⻰	(龙,Jh,,部首補充)
⻱	(⿔,Si,,部首補充)
⻲	(亀,Si,,部首補充)
⻳	(龟,Si,,部首補充)
⼀	(一,Fh,,康熙部首)
⼁	(丨,Ks,,康熙部首)
⼂	(丶,Oe,,康熙部首)
⼃	(丿,Ck,,康熙部首)
⼄	(乙,Jg,,康熙部首)
⼅	(亅,Ks,,康熙部首)
⼆	(二,Rl,,康熙部首)
⼇	(亠,Ue,,康熙部首)
⼈	(人,Si,,康熙部首)
⼉	(儿,Ah,,康熙部首)
⼊	(入,Xj,,康熙部首)
⼋	(,Vy,,康熙部首)
⼌	(冂,Zv,,康熙部首)
⼍	(冖,Er,,康熙部首)
⼎	(冫,Lv,bīng_èr,康熙部首)
⼏	(几,Ps,,康熙部首)
⼐	(凵,Zv,,康熙部首)
⼑	(刀,Kg,,康熙部首)
⼒	(力,Au,,康熙部首)
⼓	(勹,Sn,,康熙部首)
⼔	(匕,Hs,,康熙部首)
⼕	(匚,Eh,,康熙部首)
⼖	(匚,Eh,,康熙部首)
⼗	(十,Gl,,康熙部首)
⼘	(卜,Dh,,康熙部首)
⼙	(卩,Wj,,康熙部首)
⼚	(厂,Oy,,康熙部首)
⼛	(厶,Nd,,康熙部首)
⼜	(又,Wi,,康熙部首)
⼝	(口,Iq,,康熙部首)
⼞	(囗,Ud,,康熙部首)
⼟	(土,Bm,,康熙部首)
⼠	(士,Mf,,康熙部首)
⼡	(夂,Jt,,康熙部首)
⼢	(夂,Jt,,康熙部首)
⼣	(夕,Xu,,康熙部首)
⼤	(大,Xi,,康熙部首)
⼥	(女,Sm,,康熙部首)
⼦	(子,Yd,,康熙部首)
⼧	(宀,Er,,康熙部首)
⼨	(寸,Lw,,康熙部首)
⼩	(小,Ot,,康熙部首)
⼪	(𠂇㇈,GlPv,,康熙部首)
⼫	(尸,Mz,,康熙部首)
⼬	(屮,Ia,,康熙部首)
⼭	(山,Ds,,康熙部首)
⼮	(巛,Jv,,康熙部首)
⼯	(工,Nv,,康熙部首)
⼰	(己,Jc,,康熙部首)
⼱	(巾,Uw,,康熙部首)
⼲	(干,Lr,,康熙部首)
⼳	(幺,Bl,,康熙部首)
⼴	(广,Gp,,康熙部首)
⼵	(廴,Vv,,康熙部首)
⼶	(廾,Wh,gǒng_niàn_zhú,康熙部首)
⼷	(弋,Nd,,康熙部首)
⼸	(弓,Od,,康熙部首)
⼹	(彐,Si,,康熙部首)
⼺	(彡,Bl,,康熙部首)
⼻	(彳,Jb,,康熙部首)
⼼	(心,Ng,,康熙部首)
⼽	(戈,Ie,,康熙部首)
⼾	(戶,Fk,,康熙部首)
⼿	(手,Pc,,康熙部首)
⽀	(支,Bh,,康熙部首)
⽁	(攴,Ry,,康熙部首)
⽂	(文,Wm,,康熙部首)
⽃	(斗,Pf,,康熙部首)
⽄	(斤,Oz,,康熙部首)
⽅	(方,Mx,,康熙部首)
⽆	(无,Ue,,康熙部首)
⽇	(日,Je,,康熙部首)
⽈	(曰,Rl,,康熙部首)
⽉	(月,Md,,康熙部首)
⽊	(木,Aj,,康熙部首)
⽋	(欠,Fy,,康熙部首)
⽌	(止,Ld,,康熙部首)
⽍	(歹,Qm,,康熙部首)
⽎	(殳,Qi,,康熙部首)
⽏	(毌,Sf,,康熙部首)
⽐	(匕,HsHs,,康熙部首)
⽑	(毛,Ou,,康熙部首)
⽒	(氏,Qu,,康熙部首)
⽓	(气,Fq,,康熙部首)
⽔	(水,Hg,,康熙部首)
⽕	(火,Yv,,康熙部首)
⽖	(爪,To,,康熙部首)
⽗	(八乂,VyOs,,康熙部首)
⽘	(乂乂,OsOs,,康熙部首)
⽙	(爿,Nb,,康熙部首)
⽚	(片,Nb,,康熙部首)
⽛	(牙,Yb,,康熙部首)
⽜	(牛,Lz,,康熙部首)
⽝	(犬,Le,,康熙部首)
⽞	(亠幺,UeBl,,康熙部首)
⽟	(王丶,GiOe,,康熙部首)
⽠	(瓜,Qj,,康熙部首)
⽡	(瓦,Fn,,康熙部首)
⽢	(甘,Mz,,康熙部首)
⽣	(生,Dh,,康熙部首)
⽤	(用,Ql,,康熙部首)
⽥	(田,Sl,,康熙部首)
⽦	(疋,Kf,,康熙部首)
⽧	(疒,Xu,,康熙部首)
⽨	(癶,Vy,,康熙部首)
⽩	(白,Dy,,康熙部首)
⽪	(皮,Em,,康熙部首)
⽫	(皿,Bk,,康熙部首)
⽬	(目,Gy,,康熙部首)
⽭	(予丿,MaCk,,康熙部首)
⽮	(矢,Eu,,康熙部首)
⽯	(石,Qq,,康熙部首)
⽰	(示,Dd,,康熙部首)
⽱	(⽱,Fj,,康熙部首)
⽲	(禾,Zp,,康熙部首)
⽳	(穴,Zi,,康熙部首)
⽴	(立,Yq,,康熙部首)
⽵	(竹,Zi,,康熙部首)
⽶	(米,Mg,,康熙部首)
⽷	(糸,Ht,,康熙部首)
⽸	(缶,Us,,康熙部首)
⽹	(冂乂乂,ZvOsOs,,康熙部首)
⽺	(羊,Id,,康熙部首)
⽻	(羽,Eh,,康熙部首)
⽼	(老,Ri,,康熙部首)
⽽	(而,Ua,,康熙部首)
⽾	(耒,Fu,,康熙部首)
⽿	(耳,Qg,,康熙部首)
⾀	(聿,Ua,,康熙部首)
⾁	(冂人人,ZvSiSi,,康熙部首)
⾂	(臣,Dz,,康熙部首)
⾃	(自,Cj,,康熙部首)
⾄	(至,Cy,,康熙部首)
⾅	(⺽,Wi,,康熙部首)
⾆	(舌,Vl,,康熙部首)
⾇	(夕㐄,XuGj,,康熙部首)
⾈	(舟,Lk,,康熙部首)
⾉	(艮,Tp,,康熙部首)
⾊	(⺈巴,RlEw,,康熙部首)
⾋	(艸,Wh,,康熙部首)
⾌	(虍,Qb,,康熙部首)
⾍	(虫,Jw,,康熙部首)
⾎	(丿皿,CkBk,,康熙部首)
⾏	(行,Fj,,康熙部首)
⾐	(衣,Or,,康熙部首)
⾑	(襾,Qp,,康熙部首)
⾒	(見,Sc,,康熙部首)
⾓	(⺈用,RlQl,,康熙部首)
⾔	(言,Me,,康熙部首)
⾕	(谷,Pu,,康熙部首)
⾖	(豆,Ei,,康熙部首)
⾗	(豕,Kt,,康熙部首)
⾘	(豸,Lz,,康熙部首)
⾙	(貝,Ic,,康熙部首)
⾚	(土,BmYv,,康熙部首)
⾛	(走,Qo,,康熙部首)
⾜	(足,Uz,,康熙部首)
⾝	(身,Lc,,康熙部首)
⾞	(車,Jl,,康熙部首)
⾟	(辛,Jt,,康熙部首)
⾠	(辰,Qn,,康熙部首)
⾡	(彡龰,BlLd,,康熙部首)
⾢	(口巴,IqEw,,康熙部首)
⾣	(酉,Ti,,康熙部首)
⾤	(丿米,CkMg,,康熙部首)
⾥	(里,Dn,,康熙部首)
⾦	(金,Tk,,康熙部首)
⾧	(長,Si,,康熙部首)
⾨	(門,Ac,,康熙部首)
⾩	(丿㠯十,CkUsGl,,康熙部首)
⾪	(氺,SiHg,,康熙部首)
⾫	(隹,Vh,,康熙部首)
⾬	(雨,Tf,,康熙部首)
⾭	(龶円,ZhMd,,康熙部首)
⾮	(,Dm,,康熙部首)
⾯	(面,Hf,,康熙部首)
⾰	(革,Go,,康熙部首)
⾱	(韋,Iw,,康熙部首)
⾲	(非一,DmFh,,康熙部首)
⾳	(音,Ar,,康熙部首)
⾴	(頁,Wv,,康熙部首)
⾵	(風,Uy,,康熙部首)
⾶	(飛,Dp,,康熙部首)
⾷	(食,Oz,,康熙部首)
⾸	(䒑自,VyCj,,康熙部首)
⾹	(禾日,ZpJe,,康熙部首)
⾺	(馬,Gb,,康熙部首)
⾻	(⾻,Fv,,康熙部首)
⾼	(高,Wn,,康熙部首)
⾽	(髟,Be,,康熙部首)
⾾	(鬥,Ty,,康熙部首)
⾿	(凵匕,MgZvHs,,康熙部首)
⿀	(鬲,Pw,,康熙部首)
⿁	(鬼,By,,康熙部首)
⿂	(魚,Xl,,康熙部首)
⿃	(鳥,Tl,,康熙部首)
⿄	(⺊龱,DhLw,,康熙部首)
⿅	(鹿,Cu,,康熙部首)
⿆	(⿆,Jf,,康熙部首)
⿇	(麻,On,,康熙部首)
⿈	(黃,Bx,,康熙部首)
⿉	(禾人氺,ZpSiHg,,康熙部首)
⿊	(黑,Uc,,康熙部首)
⿋	(业㡀,OqKt,,康熙部首)
⿌	(黽,Ay,,康熙部首)
⿍	(目,GyNbNb,,康熙部首)
⿎	(壴支,HsBh,,康熙部首)
⿏	(鼠,Qk,,康熙部首)
⿐	(自田丌,CjSlWh,,康熙部首)
⿑	(亠{齊字腰}二,UeIuKgRl,,康熙部首)
⿒	(齒,Yb,,康熙部首)
⿓	(立⺝,YqMdIa,,康熙部首)
⿔	(⿔,Si,,康熙部首)
⿕	(龠,Sy,,康熙部首)
〇	(〇,Iq,,CJK)
㇀	(一,Fh,,筆畫)
㇁	(㇢,Pv,,筆畫)
㇂	(レ,Pv,,筆畫)
㇃	(レ,Pv,,筆畫)
㇄	(乚,Pv,,筆畫)
㇅	(㇅,Pv,,筆畫)
㇆	(𠃌,Pv,,筆畫)
㇇	(フ,Pv,,筆畫)
㇈	(㇈,Pv,,筆畫)
㇉	(ㄅ,Pv,,筆畫)
㇊	(㇅,Pv,,筆畫)
㇋	(ㄋ,Pv,,筆畫)
㇌	(ㄋ,Pv,,筆畫)
㇍	(㇅,Pv,,筆畫)
㇎	(㇎,Pv,,筆畫)
㇏	(㇏,Oe,,筆畫)
㇐	(一,Fh,,筆畫)
㇑	(丨,Ks,,筆畫)
㇒	(丿,Ck,,筆畫)
㇓	(丿,Ck,,筆畫)
㇔	(丶,Oe,,筆畫)
㇕	(ヿ,Pv,,筆畫)
㇖	(乛,Pv,,筆畫)
㇗	(㇗,Pv,,筆畫)
㇘	(丨一,KsFh,,筆畫)
㇙	(レ,Pv,,筆畫)
㇚	(丨,Ks,,筆畫)
㇛	(ㄑ,Pv,,筆畫)
㇜	(ㄥ,Pv,,筆畫)
㇝	(丶,Oe,,筆畫)
㇞	(㇞,Pv,,筆畫)
㇟	(乚,Pv,,筆畫)
㇠	(乙,Jg,,筆畫)
㇡	(ㄋ,Pv,,筆畫)
㇢	(㇢,Pv,,筆畫)
㇣	(〇,Iq,,筆畫)
㇤	(⺄,Pv,,筆畫)
㇥	(ㄅ,Pv,,筆畫)
㍻	(干丷戊乛,LrVyUcPv,,兼容字符)
㍼	(日刀禾口,JeKgZpIq,,兼容字符)
㍽	(大一止,XiFhLd,,兼容字符)
㍾	(日月氵厶,JeMdHgNd,,兼容字符)
㍿	(木丿未人云弋工礻土,AjCkJxBm,,兼容字符)
㐀	(卝一,WhFh,qiū,CJK-A)
㐁	(一囗人,FhUdSi,tiàn,CJK-A)
㐂	(七七七,LnLnLn,,CJK-A)
㐃	(ㄥ丶丨,PvOeKs,,CJK-A)
㐄	(㐄,Gj,kuà,CJK-A)
㐅	(乂,Os,wǔ,CJK-A)
㐆	(⺁彐𠃌,OySiPv,yǐn,CJK-A)
㐇	(九乙,DpJg,,CJK-A)
㐈	(入乙,XjJg,,CJK-A)
㐉	(丁乙,UeJg,,CJK-A)
㐊	(士乙,MfJg,,CJK-A)
㐋	(土乙,BmJg,,CJK-A)
㐌	(𠂉也,LdHe,yí,CJK-A)
㐍	(爫乙,ToJg,,CJK-A)
㐎	(文乙,WmJg,,CJK-A)
㐏	(五乙,JiJg,,CJK-A)
㐐	(女又乙,SmWiJg,,CJK-A)
㐑	(夂゛乙,JtLvJg,,CJK-A)
㐒	(刀口乙,KgIqJg,,CJK-A)
㐓	(可乙,ZjJg,,CJK-A)
㐔	(乙,WnJg,,CJK-A)
㐕	(由乙,IsJg,,CJK-A)
㐖	(士口乚,MfIqPv,xié,CJK-A)
㐗	(老乙,RiJg,,CJK-A)
㐘	(米乙,MgJg,,CJK-A)
㐙	(豆乙,EiJg,,CJK-A)
㐚	(五口乙,JiIqJg,,CJK-A)
㐛	(亻𠂇口乙,KjGlIqJg,,CJK-A)
㐜	(一氺丶九,FhHgOeDp,chóu,CJK-A)
㐝	(扌句乙,PcTqJg,,CJK-A)
㐞	(乙,MzVyJg,,CJK-A)
㐟	(非乙,DmJg,,CJK-A)
㐠	(爫子乚乙,ToYdPvJg,,CJK-A)
㐡	(九而大,DpUaXi,nuò,CJK-A)
㐢	(氵爫子乙,HgToYdJg,,CJK-A)
㐣	(广車乙,GpJlJg,,CJK-A)
㐤	(九十目,DpGlGyVy,dān_qiú,CJK-A)
㐥	(金且力乙,TkRhAuJg,,CJK-A)
㐦	(一ㄅ丨手乙,WiFhPvJg,,CJK-A)
㐧	(丶𬺰丿,OeGlCk,,CJK-A)
㐨	(予予,MaMa,xù,CJK-A)
㐩	(井井,BzBz,xíng,CJK-A)
㐪	(亠山人,UeDsSi,,CJK-A)
㐫	(亠㐅凵,UeOsZv,xiōng,CJK-A)
㐬	(,PdJv,liú,CJK-A)
㐭	(亠囗口,UeUdIq,lǐn,CJK-A)
㐮	(衣八井一,OrVyBzFh,xiāng,CJK-A)
㐯	(口禾日,WnIqZpJe,yōng,CJK-A)
㐰	(亻口,KjIq,xìn,CJK-A)
㐱	(人彡,SiBl,zhěn,CJK-A)
㐲	(亻大,KjXi,dài,CJK-A)
㐳	(亻一儿,KjFhAh,wù,CJK-A)
㐴	(亻夕,KjXu,pān,CJK-A)
㐵	(亻一𬺰,KjFhGl,rú,CJK-A)
㐶	(亻巳,KjDu,,CJK-A)
㐷	(亻马,KjXh,mǎ,CJK-A)
㐸	(亻欠,KjFy,qiàn_cì,CJK-A)
㐹	(亻气,KjFq,yì,CJK-A)
㐺	(亻亻人,KjKjSi,yín_zhòng,CJK-A)
㐻	(亻冂人,KjZvSi,nèi,CJK-A)
㐼	(亻丿廾,KjCkWh,chèng,CJK-A)
㐽	(亻几乂,KjPsOs,fēng,CJK-A)
㐾	(亻二儿,KjRlAh,,CJK-A)
㐿	(亻手,KjPc,,CJK-A)
㑀	(亻大丶,KjXiOe,,CJK-A)
㑁	(亻屮凵,KjIaZv,zhuō,CJK-A)
㑂	(亻一冂人,KjFhZvSi,fǎng,CJK-A)
㑃	(亻幺力,KjBlAu,ǎo,CJK-A)
㑄	(亻母,KjQt,wǔ,CJK-A)
㑅	(亻𠂉⺊一,KjLdDhFh,zuò,CJK-A)
㑆	(亻口儿,KjIqAh,,CJK-A)
㑇	(亻⺈彐,KjRlSi,zhòu,CJK-A)
㑈	(亻小,KjLnOt,dòng,CJK-A)
㑉	(亻几歹,KjPsQm,sù,CJK-A)
㑊	(亻亠,KjUeYv,yì,CJK-A)
㑋	(亻曲,KjRw,qióng,CJK-A)
㑌	(亻匚王,KjEhGi,kuāng_wāng,CJK-A)
㑍	(亻耒,KjFu,lèi,CJK-A)
㑎	(亻巛山,KjJvDs,nǎo,CJK-A)
㑏	(亻宀寸,KjErLw,zhù,CJK-A)
㑐	(亻⺊一小,KjDhFhOt,shū,CJK-A)
㑑	(亻自,KjCj,,CJK-A)
㑒	(亼口人,TuIqSi,,CJK-A)
㑓	(亻厶𠂇又,KjNdGlWi,,CJK-A)
㑔	(亻页,KjKw,xǔ,CJK-A)
㑕	(亻山夕,KjDsXu,,CJK-A)
㑖	(亻亻口丨,KjKjIqKs,,CJK-A)
㑗	(亻身,KjLc,shēn,CJK-A)
㑘	(亻戈廾,KjIeWh,jiè,CJK-A)
㑙	(亻耳㇗,KjQgPv,dié,CJK-A)
㑚	(亻𠃌阝,KjPvPcTj,nuó,CJK-A)
㑛	(亻束,KjUh,sù,CJK-A)
㑜	(亻扌斤,KjPcOz,yì_chì,CJK-A)
㑝	(亻王廾,KjGiWh,lòng,CJK-A)
㑞	(亻火廾,KjYvWh,yìng,CJK-A)
㑟	(亻,KjOzVy,běng,CJK-A)
㑠	(亻〢又土,KjKgWiBm,,CJK-A)
㑡	(亻卩,KjTpWj,,CJK-A)
㑢	(亻土厶卩,KjBmNdWj,,CJK-A)
㑣	(亻木木,KjAjAj,lán,CJK-A)
㑤	(亻艹田,KjWhSl,miáo,CJK-A)
㑥	(亻日勹,KjJeSnBl,yì,CJK-A)
㑦	(亻户犬,KjFkLe,lì,CJK-A)
㑧	(亻禾子,KjZpYd,jì,CJK-A)
㑨	(亻口矢,KjIqEu,yǔ,CJK-A)
㑩	(亻罒夕,KjYtXu,luó,CJK-A)
㑪	(亻斉,KjAe,chái,CJK-A)
㑫	(亻亽ヿ心,KjTuPvNg,,CJK-A)
㑬	(亻女古,KjSmQm,,CJK-A)
㑭	(亻田丌,KjSlWh,,CJK-A)
㑮	(亻冖車,KjErJl,hún,CJK-A)
㑯	(亻頁,KjWv,xǔ,CJK-A)
㑰	(亻彑,KjSiKt,huì,CJK-A)
㑱	(亻予丿木,KjMaCkAj,rǎo,CJK-A)
㑲	(亻十冂,KjGlZvId,,CJK-A)
㑳	(亻勹勹,KjSnIaIa,zhòu_zhū,CJK-A)
㑴	(亻彐冖巾又,KjSiErWi,,CJK-A)
㑵	(亻疒矢,KjXuEu,hàn,CJK-A)
㑶	(亻气米,KjFqMg,xì,CJK-A)
㑷	(亻厶⺝匕,KjNdMdHs,tài,CJK-A)
㑸	(亻古可,KjQmZj,yáo,CJK-A)
㑹	(亼由日,TuIsJe,huì,CJK-A)
㑺	(亻隹乃,KjVhVi,jùn,CJK-A)
㑻	(亻宀心丿山,KjErNgDs,mà,CJK-A)
㑼	(亻田各,KjSlQy,lüè,CJK-A)
㑽	(亻土,KjXyBm,táng,CJK-A)
㑾	(亻言,KjMdMe,yáo,CJK-A)
㑿	(亻巛田木,KjJvSlAj,zhào,CJK-A)
㒀	(亻冂古,KjYqZvQm,zhāi_zhǎ,CJK-A)
㒁	(亻囗土,KjUdBmId,yǔ,CJK-A)
㒂	(亻艹耂日,KjWhRiJe,zhuó,CJK-A)
㒃	(亻弋二貝,KjNdRlIc,èr,CJK-A)
㒄	(亻犬灬,KjMdLeYv,rǎn,CJK-A)
㒅	(亻衣夕夕,KjOrXuXu,qǐ,CJK-A)
㒆	(亻亼口羽,KjTuIqEh,chì,CJK-A)
㒇	(亻𠂉卌一灬,KjLdDsYv,wǔ,CJK-A)
㒈	(亻ヿ耳攵,KjPvQgRy,hàn,CJK-A)
㒉	(亻木,KjXyAj,tǎng,CJK-A)
㒊	(亻刀丶止刀丶止,KjKgOeLd,sè,CJK-A)
㒋	(亻斤,KjMzVyOz,sī,CJK-A)
㒌	(亻火火冖几,KjYvYvPs,qióng,CJK-A)
㒍	(亻厶厶厶糸,KjNdNdHt,léi,CJK-A)
㒎	(亻一大非,KjFhXiDm,sà,CJK-A)
㒏	(亻宀井゛,KjErBzLv,,CJK-A)
㒐	(亻⺮勹日,KjZiSnJe,,CJK-A)
㒑	(亻匚氵隹,KjEhHgVh,kuǐ_huì,CJK-A)
㒒	(亻业䒑未,KjOqVyJx,pú,CJK-A)
㒓	(亻土羊辶,KjBmIdLt,tà,CJK-A)
㒔	(亻罒勹虫,KjYtSnJw,shú_dú_tù,CJK-A)
㒕	(亻亠乡隹,KjUeFfVh,yāng,CJK-A)
㒖	(亻艹田⽱,KjWhSlFj,ǒu,CJK-A)
㒗	(亻甘冖至,KjMzErCy,tái,CJK-A)
㒘	(亻臣又立,KjDzWiYq,,CJK-A)
㒙	(亻糹白巾,KjHtDyUw,mián,CJK-A)
㒚	(亻爫工彐心,KjToNvNg,yìn_wěn,CJK-A)
㒛	(亻羽隹,KjEhVh,diào,CJK-A)
㒜	(亻一ㄅ丨,KjWiFhVy,yǔ,CJK-A)
㒝	(亻艹罒戊丶,KjWhYtOe,miè_wà,CJK-A)
㒞	(亻山隹,KjDsVhZv,jùn,CJK-A)
㒟	(亻衣馬,KjOrGb,niǎo,CJK-A)
㒠	(亻歺又非一,KjQmWiFh,xiè,CJK-A)
㒡	(亻爫缶丿糸,KjToUsHt,yóu,CJK-A)
㒢	(亻龠,KjSy,,CJK-A)
㒣	(亻广亻隹心,KjGpKjNg,,CJK-A)
㒤	(亻耳耳耳,KjQgQgQg,chè,CJK-A)
㒥	(亻山丰丰豆,KjDsZhEi,fēng,CJK-A)
㒦	(亻田田田土,KjSlSlBm,lěi_lèi,CJK-A)
㒧	(亻亠㐅凵禸隹,KjUeOsVh,lì,CJK-A)
㒨	(亻丿龱大巳,KjWiCkDu,,CJK-A)
㒩	(亻彑虫虫,KjSiKtJw,luǒ,CJK-A)
㒪	(人臣臣止豕,SiDzDzKt,,CJK-A)
㒫	(儿,SiAh,jì,CJK-A)
㒬	(二儿王,RlAhGi,,CJK-A)
㒭	(口儿口儿,IqAhIqAh,,CJK-A)
㒮	(二儿豕,RlAhKt,,CJK-A)
㒯	(光艹艹,SjWhPcWh,,CJK-A)
㒰	(入工,XjNv,quán,CJK-A)
㒱	(入夕,XjXu,,CJK-A)
㒲	(入日,XjJe,cái,CJK-A)
㒳	(冂丨入入,ZvKsXjXj,liǎng,CJK-A)
㒴	(入屮凵,XjIaZv,gǔ,CJK-A)
㒵	(白八,DyVy,mào,CJK-A)
㒶	(八白,VyDy,,CJK-A)
㒷	(冂人,ZvSiVy,guǎ,CJK-A)
㒸	(丷豕,VyKt,suì,CJK-A)
㒹	(十目十目,GlGyVyVy,,CJK-A)
㒺	(冂䒑亾,ZvVyXc,,CJK-A)
㒻	(⺜見,JeSc,mào,CJK-A)
㒼	(廿巾入入,XkUwXjXj,mán,CJK-A)
㒽	(⺜丷夫⺋,JeVySvWj,quān,CJK-A)
㒾	(⺜方𠂉也,JeMxLdHe,shì,CJK-A)
㒿	(⺜亠㐅凵禸隹,JeUeOsVh,lí,CJK-A)
㓀	(冖卜,ErDh,,CJK-A)
㓁	(冖八,ErVy,wǎng,CJK-A)
㓂	(冖二儿女,ErRlAhSm,kòu,CJK-A)
㓃	(冖言丿七,ErMeCkLn,dù,CJK-A)
㓄	(厶厶厶人彡冖儿,NdNdNdAh,zhèn,CJK-A)
㓅	(冫丁,LvUe,tīng,CJK-A)
㓆	(冫仑,LvHv,,CJK-A)
㓇	(冫丿大,LvCkXi,,CJK-A)
㓈	(冫石,LvQq,bìng,CJK-A)
㓉	(冫舌,LvVl,huò,CJK-A)
㓊	(冫冂一口,LvZvFhIq,dòng,CJK-A)
㓋	(冫龷八,LvXkVy,gòng,CJK-A)
㓌	(冫人王,LvSiGi,chēng,CJK-A)
㓍	(冫儿,LvPdAh,,CJK-A)
㓎	(冫彐冖又,LvSiErWi,qīn_qìn_qǐn,CJK-A)
㓏	(冫冂八口,LvZvVyIq,jiǒng,CJK-A)
㓐	(冫土八土,LvBmVyBm,lù,CJK-A)
㓑	(冫土,LvBmId,xìng,CJK-A)
㓒	(冫七人⺗,LvLnSiNg,,CJK-A)
㓓	(冫十冂,LvGlZvId,nán,CJK-A)
㓔	(冫身寸,LvLcLw,xiè,CJK-A)
㓕	(冫戊一火,LvUcFhYv,,CJK-A)
㓖	(冫田艹,LvSlWhPc,bì,CJK-A)
㓗	(冫丰刀糸,LvZhKgHt,jié,CJK-A)
㓘	(几歹王丶,PsQmGiOe,sù,CJK-A)
㓙	(文凵,WmZv,,CJK-A)
㓚	(工刂,NvKg,gōng,CJK-A)
㓛	(工刀,NvKg,,CJK-A)
㓜	(幺刀,BlKg,yòu,CJK-A)
㓝	(井刂,BzKg,xíng,CJK-A)
㓞	(丰刀,ZhKg,qià,CJK-A)
㓟	(皮刂,EmKg,pí,CJK-A)
㓠	(⺊口刂,DhIqKg,diàn_diǎn,CJK-A)
