⺀	[丶丶,bīng_èr,部首補充]
⼨	[寸,,康熙部首]
⼩	[小,,康熙部首]
⼪	[𠂇㇈,,康熙部首]
⼫	[尸,,康熙部首]
⼬	[屮,,康熙部首]
⼭	[山,,康熙部首]
⼮	[巛,,康熙部首]
⼯	[工,,康熙部首]
⼰	[己,,康熙部首]
⼱	[巾,,康熙部首]
⼲	[干,,康熙部首]
⼳	[幺,,康熙部首]
⼴	[广,,康熙部首]
⼵	[廴,,康熙部首]
⼶	[廾,gǒng_niàn_zhú,康熙部首]
⼷	[弋,,康熙部首]
⼸	[弓,,康熙部首]
⼹	[彐,,康熙部首]
⼺	[彡,,康熙部首]
⼻	[彳,,康熙部首]
⼼	[心,,康熙部首]
⼽	[戈,,康熙部首]
⼾	[戶,,康熙部首]
⼿	[手,,康熙部首]
⽀	[支,,康熙部首]
⽁	[攴,,康熙部首]
⽂	[文,,康熙部首]
⽃	[斗,,康熙部首]
⽄	[斤,,康熙部首]
⽅	[方,,康熙部首]
⽆	[无,,康熙部首]
⽇	[日,,康熙部首]
⽈	[曰,,康熙部首]
⽉	[月,,康熙部首]
⽊	[木,,康熙部首]
⽋	[欠,,康熙部首]
⽌	[止,,康熙部首]
⽍	[歹,,康熙部首]
⽎	[殳,,康熙部首]
⽏	[毌,,康熙部首]
⽐	[匕,,康熙部首]
⽑	[毛,,康熙部首]
⽒	[氏,,康熙部首]
⽓	[气,,康熙部首]
⽔	[水,,康熙部首]
⽕	[火,,康熙部首]
⽖	[爪,,康熙部首]
⽗	[八乂,,康熙部首]
⽘	[乂乂,,康熙部首]
⽙	[爿,,康熙部首]
⽚	[片,,康熙部首]
⽛	[牙,,康熙部首]
⽜	[牛,,康熙部首]
⽝	[犬,,康熙部首]
⽞	[亠幺,,康熙部首]
⽟	[王丶,,康熙部首]
⽠	[瓜,,康熙部首]
⽡	[瓦,,康熙部首]
⽢	[甘,,康熙部首]
⽣	[生,,康熙部首]
⽤	[用,,康熙部首]
⽥	[田,,康熙部首]
⽦	[疋,,康熙部首]
⽧	[疒,,康熙部首]
⽨	[癶,,康熙部首]
⽩	[白,,康熙部首]
⽪	[皮,,康熙部首]
⽫	[皿,,康熙部首]
⽬	[目,,康熙部首]
⽭	[予丿,,康熙部首]
⽮	[矢,,康熙部首]
⽯	[石,,康熙部首]
⽰	[示,,康熙部首]
⽱	[⽱,,康熙部首]
⽲	[禾,,康熙部首]
⽳	[穴,,康熙部首]
⽴	[立,,康熙部首]
⽵	[竹,,康熙部首]
⽶	[米,,康熙部首]
⽷	[糸,,康熙部首]
⽸	[缶,,康熙部首]
⽹	[冂乂乂,,康熙部首]
⽺	[羊,,康熙部首]
⽻	[羽,,康熙部首]
⽼	[老,,康熙部首]
⽽	[而,,康熙部首]
⽾	[耒,,康熙部首]
⽿	[耳,,康熙部首]
⾀	[聿,,康熙部首]
⾁	[冂人人,,康熙部首]
⾂	[臣,,康熙部首]
⾃	[自,,康熙部首]
⾄	[至,,康熙部首]
⾅	[⺽,,康熙部首]
⾆	[舌,,康熙部首]
⾇	[夕㐄,,康熙部首]
⾈	[舟,,康熙部首]
⾉	[艮,,康熙部首]
⾊	[⺈巴,,康熙部首]
⾋	[艸,,康熙部首]
⾌	[虍,,康熙部首]
⾍	[虫,,康熙部首]
⾎	[丿皿,,康熙部首]
⾏	[行,,康熙部首]
⾐	[衣,,康熙部首]
⾑	[襾,,康熙部首]
⾒	[見,,康熙部首]
⾓	[⺈用,,康熙部首]
⾔	[言,,康熙部首]
⾕	[谷,,康熙部首]
⾖	[豆,,康熙部首]
⾗	[豕,,康熙部首]
⾘	[豸,,康熙部首]
⾙	[貝,,康熙部首]
⾚	[土,,康熙部首]
⾛	[走,,康熙部首]
⾜	[足,,康熙部首]
⾝	[身,,康熙部首]
⾞	[車,,康熙部首]
⾟	[辛,,康熙部首]
⾠	[辰,,康熙部首]
⾡	[彡龰,,康熙部首]
⾢	[口巴,,康熙部首]
⾣	[酉,,康熙部首]
⾤	[丿米,,康熙部首]
⾥	[里,,康熙部首]
⾦	[金,,康熙部首]
⾧	[長,,康熙部首]
⾨	[門,,康熙部首]
⾩	[丿㠯十,,康熙部首]
⾪	[氺,,康熙部首]
⾫	[隹,,康熙部首]
⾬	[雨,,康熙部首]
⾭	[龶円,,康熙部首]
⾮	[,,康熙部首]
⾯	[面,,康熙部首]
⾰	[革,,康熙部首]
⾱	[韋,,康熙部首]
⾲	[非一,,康熙部首]
⾳	[音,,康熙部首]
⾴	[頁,,康熙部首]
⾵	[風,,康熙部首]
⾶	[飛,,康熙部首]
⾷	[食,,康熙部首]
⾸	[䒑自,,康熙部首]
⾹	[禾日,,康熙部首]
⾺	[馬,,康熙部首]
⾻	[⾻,,康熙部首]
⾼	[高,,康熙部首]
⾽	[髟,,康熙部首]
⾾	[鬥,,康熙部首]
⾿	[凵匕,,康熙部首]
⿀	[鬲,,康熙部首]
⿁	[鬼,,康熙部首]
⿂	[魚,,康熙部首]
⿃	[鳥,,康熙部首]
⿄	[⺊龱,,康熙部首]
⿅	[鹿,,康熙部首]
⿆	[⿆,,康熙部首]
⿇	[麻,,康熙部首]
⿈	[黃,,康熙部首]
⿉	[禾人氺,,康熙部首]
⿊	[黑,,康熙部首]
⿋	[业㡀,,康熙部首]
⿌	[黽,,康熙部首]
⿍	[目,,康熙部首]
⿎	[壴支,,康熙部首]
⿏	[鼠,,康熙部首]
⿐	[自田丌,,康熙部首]
⿑	[亠{齊字腰}二,,康熙部首]
⿒	[齒,,康熙部首]
⿓	[立⺝{龍字边},,康熙部首]
⿔	[⿔,,康熙部首]
⿕	[龠,,康熙部首]
〇	[〇,,CJK]
㇀	[一,,筆畫]
㇁	[㇢,,筆畫]
㇂	[レ,,筆畫]
㇃	[レ,,筆畫]
㇄	[乚,,筆畫]
㇅	[㇅,,筆畫]
㇆	[𠃌,,筆畫]
㇇	[フ,,筆畫]
㇈	[㇈,,筆畫]
㇉	[ㄅ,,筆畫]
㇊	[㇅,,筆畫]
㇋	[ㄋ,,筆畫]
㇌	[ㄋ,,筆畫]
㇍	[㇅,,筆畫]
㇎	[㇎,,筆畫]
㇏	[㇏,,筆畫]
㇐	[一,,筆畫]
㇑	[丨,,筆畫]
㇒	[丿,,筆畫]
㇓	[丿,,筆畫]
㇔	[丶,,筆畫]
㇕	[ヿ,,筆畫]
㇖	[乛,,筆畫]
㇗	[㇗,,筆畫]
㇘	[丨一,,筆畫]
㇙	[レ,,筆畫]
㇚	[丨,,筆畫]
㇛	[ㄑ,,筆畫]
㇜	[ㄥ,,筆畫]
㇝	[丶,,筆畫]
㇞	[㇞,,筆畫]
㇟	[乚,,筆畫]
㇠	[乙,,筆畫]
㇡	[ㄋ,,筆畫]
㇢	[㇢,,筆畫]
㇣	[〇,,筆畫]
㇤	[⺄,,筆畫]
㇥	[ㄅ,,筆畫]
㍻	[干丷戊乛,,兼容字符]
㍼	[日刀禾口,,兼容字符]
㍽	[大一止,,兼容字符]
㍾	[日月氵厶,,兼容字符]
㍿	[木丿未人云弋工礻土,,兼容字符]
㐀	[卝一,qiū,CJK-A]
㐁	[一囗人,tiàn,CJK-A]
㐂	[七七七,,CJK-A]
㐃	[ㄥ丶丨,,CJK-A]
㐄	[㐄,kuà,CJK-A]
㐅	[乂,wǔ,CJK-A]
㐆	[⺁彐𠃌,yǐn,CJK-A]
㐇	[九乙,,CJK-A]
㐈	[入乙,,CJK-A]
㐉	[丁乙,,CJK-A]
㐊	[士乙,,CJK-A]
㐋	[土乙,,CJK-A]
㐌	[𠂉也,yí,CJK-A]
㐍	[爫乙,,CJK-A]
㐎	[文乙,,CJK-A]
㐏	[五乙,,CJK-A]
㐐	[女又乙,,CJK-A]
㐑	[夂゛乙,,CJK-A]
㐒	[刀口乙,,CJK-A]
㐓	[可乙,,CJK-A]
㐔	[乙,,CJK-A]
㐕	[由乙,,CJK-A]
㐖	[士口乚,xié,CJK-A]
㐗	[老乙,,CJK-A]
㐘	[米乙,,CJK-A]
㐙	[豆乙,,CJK-A]
㐚	[五口乙,,CJK-A]
㐛	[亻𠂇口乙,,CJK-A]
㐜	[一氺丶九,chóu,CJK-A]
㐝	[扌句乙,,CJK-A]
㐞	[乙,,CJK-A]
㐟	[非乙,,CJK-A]
㐠	[爫子乚乙,,CJK-A]
㐡	[九而大,nuò,CJK-A]
㐢	[氵爫子乙,,CJK-A]
㐣	[广車乙,,CJK-A]
㐤	[九十目,dān_qiú,CJK-A]
㐥	[金且力乙,,CJK-A]
㐦	[一ㄅ丨手乙,,CJK-A]
㐧	[丶𬺰丿,,CJK-A]
㐨	[予予,xù,CJK-A]
㐩	[井井,xíng,CJK-A]
㐪	[亠山人,,CJK-A]
㐫	[亠㐅凵,xiōng,CJK-A]
㐬	[,liú,CJK-A]
㐭	[亠囗口,lǐn,CJK-A]
㐮	[衣八井一,xiāng,CJK-A]
㐯	[口禾日,yōng,CJK-A]
㐰	[亻口,xìn,CJK-A]
㐱	[人彡,zhěn,CJK-A]
㐲	[亻大,dài,CJK-A]
㐳	[亻一儿,wù,CJK-A]
㐴	[亻夕,pān,CJK-A]
㐵	[亻一𬺰,rú,CJK-A]
㐶	[亻巳,,CJK-A]
㐷	[亻马,mǎ,CJK-A]
㐸	[亻欠,qiàn_cì,CJK-A]
㐹	[亻气,yì,CJK-A]
㐺	[亻亻人,yín_zhòng,CJK-A]
㐻	[亻冂人,nèi,CJK-A]
㐼	[亻丿廾,chèng,CJK-A]
㐽	[亻几乂,fēng,CJK-A]
㐾	[亻二儿,,CJK-A]
㐿	[亻手,,CJK-A]
㑀	[亻大丶,,CJK-A]
㑁	[亻屮凵,zhuō,CJK-A]
㑂	[亻一冂人,fǎng,CJK-A]
㑃	[亻幺力,ǎo,CJK-A]
㑄	[亻母,wǔ,CJK-A]
㑅	[亻𠂉⺊一,zuò,CJK-A]
㑆	[亻口儿,,CJK-A]
㑇	[亻⺈彐,zhòu,CJK-A]
㑈	[亻小,dòng,CJK-A]
㑉	[亻几歹,sù,CJK-A]
㑊	[亻亠,yì,CJK-A]
㑋	[亻曲,qióng,CJK-A]
㑌	[亻匚王,kuāng_wāng,CJK-A]
㑍	[亻耒,lèi,CJK-A]
㑎	[亻巛山,nǎo,CJK-A]
㑏	[亻宀寸,zhù,CJK-A]
㑐	[亻⺊一小,shū,CJK-A]
㑑	[亻自,,CJK-A]
㑒	[亼口人,,CJK-A]
㑓	[亻厶𠂇又,,CJK-A]
㑔	[亻页,xǔ,CJK-A]
㑕	[亻山夕,,CJK-A]
㑖	[亻亻口丨,,CJK-A]
㑗	[亻身,shēn,CJK-A]
㑘	[亻戈廾,jiè,CJK-A]
㑙	[亻耳㇗,dié,CJK-A]
㑚	[亻𠃌阝,nuó,CJK-A]
㑛	[亻束,sù,CJK-A]
㑜	[亻扌斤,yì_chì,CJK-A]
㑝	[亻王廾,lòng,CJK-A]
㑞	[亻火廾,yìng,CJK-A]
㑟	[亻,běng,CJK-A]
㑠	[亻〢又土,,CJK-A]
㑡	[亻卩,,CJK-A]
㑢	[亻土厶卩,,CJK-A]
㑣	[亻木木,lán,CJK-A]
㑤	[亻艹田,miáo,CJK-A]
㑥	[亻日勹,yì,CJK-A]
㑦	[亻户犬,lì,CJK-A]
㑧	[亻禾子,jì,CJK-A]
㑨	[亻口矢,yǔ,CJK-A]
㑩	[亻罒夕,luó,CJK-A]
㑪	[亻斉,chái,CJK-A]
㑫	[亻亽ヿ心,,CJK-A]
㑬	[亻女古,,CJK-A]
㑭	[亻田丌,,CJK-A]
㑮	[亻冖車,hún,CJK-A]
㑯	[亻頁,xǔ,CJK-A]
㑰	[亻彑,huì,CJK-A]
㑱	[亻予丿木,rǎo,CJK-A]
㑲	[亻十冂,,CJK-A]
㑳	[亻勹勹,zhòu_zhū,CJK-A]
㑴	[亻彐冖巾又,,CJK-A]
㑵	[亻疒矢,hàn,CJK-A]
㑶	[亻气米,xì,CJK-A]
㑷	[亻厶⺝匕,tài,CJK-A]
㑸	[亻古可,yáo,CJK-A]
㑹	[亼由日,huì,CJK-A]
㑺	[亻隹乃,jùn,CJK-A]
㑻	[亻宀心丿山,mà,CJK-A]
㑼	[亻田各,lüè,CJK-A]
㑽	[亻土,táng,CJK-A]
㑾	[亻言,yáo,CJK-A]
㑿	[亻巛田木,zhào,CJK-A]
㒀	[亻冂古,zhāi_zhǎ,CJK-A]
㒁	[亻囗土,yǔ,CJK-A]
㒂	[亻艹耂日,zhuó,CJK-A]
㒃	[亻弋二貝,èr,CJK-A]
㒄	[亻犬灬,rǎn,CJK-A]
㒅	[亻衣夕夕,qǐ,CJK-A]
㒆	[亻亼口羽,chì,CJK-A]
㒇	[亻𠂉卌一灬,wǔ,CJK-A]
㒈	[亻ヿ耳攵,hàn,CJK-A]
㒉	[亻木,tǎng,CJK-A]
㒊	[亻刀丶止刀丶止,sè,CJK-A]
㒋	[亻斤,sī,CJK-A]
㒌	[亻火火冖几,qióng,CJK-A]
㒍	[亻厶厶厶糸,léi,CJK-A]
㒎	[亻一大非,sà,CJK-A]
㒏	[亻宀井゛,,CJK-A]
㒐	[亻⺮勹日,,CJK-A]
㒑	[亻匚氵隹,kuǐ_huì,CJK-A]
㒒	[亻业䒑未,pú,CJK-A]
㒓	[亻土羊辶,tà,CJK-A]
㒔	[亻罒勹虫,shú_dú_tù,CJK-A]
㒕	[亻亠乡隹,yāng,CJK-A]
㒖	[亻艹田⽱,ǒu,CJK-A]
㒗	[亻甘冖至,tái,CJK-A]
㒘	[亻臣又立,,CJK-A]
㒙	[亻糹白巾,mián,CJK-A]
㒚	[亻爫工彐心,yìn_wěn,CJK-A]
㒛	[亻羽隹,diào,CJK-A]
㒜	[亻一ㄅ丨,yǔ,CJK-A]
㒝	[亻艹罒戊丶,miè_wà,CJK-A]
㒞	[亻山隹,jùn,CJK-A]
㒟	[亻衣馬,niǎo,CJK-A]
㒠	[亻歺又非一,xiè,CJK-A]
㒡	[亻爫缶丿糸,yóu,CJK-A]
㒢	[亻龠,,CJK-A]
㒣	[亻广亻隹心,,CJK-A]
㒤	[亻耳耳耳,chè,CJK-A]
㒥	[亻山丰丰豆,fēng,CJK-A]
㒦	[亻田田田土,lěi_lèi,CJK-A]
㒧	[亻亠㐅凵禸隹,lì,CJK-A]
㒨	[亻丿龱大巳,,CJK-A]
㒩	[亻彑虫虫,luǒ,CJK-A]
㒪	[人臣臣止豕,,CJK-A]
㒫	[儿,jì,CJK-A]
㒬	[二儿王,,CJK-A]
㒭	[口儿口儿,,CJK-A]
㒮	[二儿豕,,CJK-A]
㒯	[光艹艹,,CJK-A]
㒰	[入工,quán,CJK-A]
㒱	[入夕,,CJK-A]
㒲	[入日,cái,CJK-A]
㒳	[冂丨入入,liǎng,CJK-A]
㒴	[入屮凵,gǔ,CJK-A]
㒵	[白八,mào,CJK-A]
㒶	[八白,,CJK-A]
㒷	[冂人,guǎ,CJK-A]
㒸	[丷豕,suì,CJK-A]
㒹	[十目十目,,CJK-A]
㒺	[冂䒑亾,,CJK-A]
㒻	[⺜見,mào,CJK-A]
㒼	[廿巾入入,mán,CJK-A]
㒽	[⺜丷夫⺋,quān,CJK-A]
㒾	[⺜方𠂉也,shì,CJK-A]
㒿	[⺜亠㐅凵禸隹,lí,CJK-A]
㓀	[冖卜,,CJK-A]
㓁	[冖八,wǎng,CJK-A]
㓂	[冖二儿女,kòu,CJK-A]
㓃	[冖言丿七,dù,CJK-A]
㓄	[厶厶厶人彡冖儿,zhèn,CJK-A]
㓅	[冫丁,tīng,CJK-A]
㓆	[冫仑,,CJK-A]
㓇	[冫丿大,,CJK-A]
㓈	[冫石,bìng,CJK-A]
㓉	[冫舌,huò,CJK-A]
㓊	[冫冂一口,dòng,CJK-A]
㓋	[冫龷八,gòng,CJK-A]
㓌	[冫人王,chēng,CJK-A]
㓍	[冫儿,,CJK-A]
㓎	[冫彐冖又,qīn_qìn_qǐn,CJK-A]
㓏	[冫冂八口,jiǒng,CJK-A]
㓐	[冫土八土,lù,CJK-A]
㓑	[冫土,xìng,CJK-A]
㓒	[冫七人⺗,,CJK-A]
㓓	[冫十冂,nán,CJK-A]
㓔	[冫身寸,xiè,CJK-A]
㓕	[冫戊一火,,CJK-A]
㓖	[冫田艹,bì,CJK-A]
㓗	[冫丰刀糸,jié,CJK-A]
㓘	[几歹王丶,sù,CJK-A]
㓙	[文凵,,CJK-A]
㓚	[工刂,gōng,CJK-A]
㓛	[工刀,,CJK-A]
㓜	[幺刀,yòu,CJK-A]
㓝	[井刂,xíng,CJK-A]
㓞	[丰刀,qià,CJK-A]
㓟	[皮刂,pí,CJK-A]
㓠	[⺊口刂,diàn_diǎn,CJK-A]
㓡	[缶刂,fǔ_guā,CJK-A]
㓢	[各刂,luò,CJK-A]
㓣	[亼口刂,qià_gē,CJK-A]
㓤	[士口刂,qià,CJK-A]
㓥	[⺌彐刂,tāng,CJK-A]
㓦	[一白刂,bāi,CJK-A]
㓧	[亽ヿ口刂,gān,CJK-A]
㓨	[大人人刂,cí,CJK-A]
㓩	[⺈用刂,xuān_jiē,CJK-A]
㓪	[丶刀,lǎng,CJK-A]
㓫	[大一廾刂,,CJK-A]
㓬	[丷夫刀刂,,CJK-A]
㓭	[日勹亾刂,shé,CJK-A]
㓮	[⺆土口刂,diāo,CJK-A]
㓯	[巛田刂,lí,CJK-A]
㓰	[一由凵刂,huà,CJK-A]
㓱	[亼⺝刂刂,tóu_shū,CJK-A]
㓲	[户𠕁刂,piān,CJK-A]
㓳	[日疋刂,dī,CJK-A]
㓴	[而大刂,ruǎn,CJK-A]
㓵	[吅二ㄅ刂,è,CJK-A]
㓶	[丰刀大刂,qiè,CJK-A]
㓷	[自木刂,yì,CJK-A]
㓸	[刂,zhuō_dōu,CJK-A]
㓹	[厂火火刂,ruì_cuì_jì,CJK-A]
㓺	[虍文刂,jiān_qián,CJK-A]
㓻	[罒一止刂,,CJK-A]
㓼	[木人氺刂,chì,CJK-A]
㓽	[山宀示刂,chóng,CJK-A]
㓾	[尸氺牛刂,xī_chí,CJK-A]
㓿	[禾人氺刂,,CJK-A]
㔀	[日小刂,lüè,CJK-A]
㔁	[癶豆刂,dēng,CJK-A]
㔂	[米夕㐄刂,lín,CJK-A]
㔃	[糹⺈巴刀,jué_xuē,CJK-A]
㔄	[覀米刂,sù,CJK-A]
㔅	[肀片爿一刂,xiào,CJK-A]
㔆	[旡旡日刂,zàn,CJK-A]
㔇	[癶弓殳刂,,CJK-A]
㔈	[艹非刂,,CJK-A]
㔉	[尸丿口⽱刂,zhǔ,CJK-A]
㔊	[亠囗口日一刂,zhǎn_dǎn,CJK-A]
㔋	[臣皿刂,jiān_lán,CJK-A]
㔌	[耳又丿刂,zòu_cǒu,CJK-A]
㔍	[⺮目廾刂,chuā_zhá,CJK-A]
㔎	[丿㠯辛刀,xiè,CJK-A]
㔏	[石石石刂,lì_luǒ,CJK-A]
㔐	[⺮一非一刂,,CJK-A]
㔑	[艹丿㠯辛刀,chì,CJK-A]
㔒	[山隹冂八口刂,xí,CJK-A]
㔓	[千力,jiǎn,CJK-A]
㔔	[力口〇,,CJK-A]
㔕	[气力,jí,CJK-A]
㔖	[力口ヿ,,CJK-A]
㔗	[弗力,fèi_bèi_fú,CJK-A]
㔘	[屮凵力,chù,CJK-A]
㔙	[䒑廾力,bēng,CJK-A]
㔚	[舌力,jié,CJK-A]
㔛	[士口力,,CJK-A]
㔜	[爫子力,bá,CJK-A]
㔝	[一巾入入力,liǎng_liáng,CJK-A]
㔞	[千匕力,kuài,CJK-A]
㔟	[生丸力,,CJK-A]
㔠	[日勹亾力,xiā_hé,CJK-A]
㔡	[丿龱匕力,biē,CJK-A]
㔢	[糹⺈巴力,jué_xuē,CJK-A]
㔣	[田田田力,léi,CJK-A]
㔤	[宀丿米田力,xìn,CJK-A]
㔥	[罒厶⺝匕力,bài_pí,CJK-A]
㔦	[⺶㇏丶艮力,yǎng,CJK-A]
㔧	[虍田皿力,lǜ,CJK-A]
㔨	[勹匕⺝,bèi,CJK-A]
㔩	[勹土厶皿,è,CJK-A]
㔪	[勹⺊𱕻,lǔ,CJK-A]
㔫	[𠂇匕,,CJK-A]
㔬	[匕日十,,CJK-A]
㔭	[日疋,chè,CJK-A]
㔮	[廿口夫厶⺝匕,nuó,CJK-A]
㔯	[匚几口,xuán_suǎn,CJK-A]
㔰	[匚夕卜,héng,CJK-A]
㔱	[匚臼人,yǔ,CJK-A]
㔲	[匚飠九,,CJK-A]
㔳	[匚飠几,guǐ,CJK-A]
㔴	[匚田龷八,yì,CJK-A]
㔵	[匚巳巳龷八,xuǎn,CJK-A]
㔶	[匚音十夂工貝,gòng_gǎn,CJK-A]
㔷	[匚一冂人,lòu,CJK-A]
㔸	[匚⺁虎,tī,CJK-A]
㔹	[十力,lè,CJK-A]
㔺	[十十⺃,shì,CJK-A]
㔻	[不十,,CJK-A]
㔼	[扌隹十,sǔn,CJK-A]
㔽	[⺊囗口,yào,CJK-A]
㔾	[㔾,xiān_jié,CJK-A]
㔿	[一丩,zòu,CJK-A]
㕀	[由⺋,,CJK-A]
㕁	[㐅𠂇厶卩,què,CJK-A]
㕂	[厂亽ヿ,yín_qín,CJK-A]
㕃	[厂一廾,xī,CJK-A]
㕄	[厂一幺,zhǐ,CJK-A]
㕅	[厂甲,jiá,CJK-A]
㕆	[厂古,hù,CJK-A]
㕇	[厂立,lā,CJK-A]
㕈	[厂衣,yǐ,CJK-A]
㕉	[厂亼口,kè,CJK-A]
㕊	[厂甫,fū,CJK-A]
㕋	[厂金,qín,CJK-A]
㕌	[厂日一寸,ài,CJK-A]
㕍	[厂隹,,CJK-A]
㕎	[厂土厶皿,kè,CJK-A]
㕏	[厂豆斗,chú,CJK-A]
㕐	[厂臼勹灬,xiě_xiè,CJK-A]
㕑	[厂壴寸,chú,CJK-A]
㕒	[厂⺷丿扌,wēi,CJK-A]
㕓	[厂黑土,,CJK-A]
㕔	[厂耳王十罒一心,,CJK-A]
㕕	[厶厶,huàn,CJK-A]
㕖	[厶厶厶木,sù,CJK-A]
㕗	[⺷㇏厶,yòu,CJK-A]
㕘	[厶厶厶人小,,CJK-A]
㕙	[厶八夂兔,jùn,CJK-A]
㕚	[又丶丶,zhǎo,CJK-A]
㕛	[又又,xù,CJK-A]
㕜	[口丨又,shǐ,CJK-A]
㕝	[古又,,CJK-A]
㕞	[尸巾又,shuā,CJK-A]
㕟	[⺊𠕁又,kuì_kuài,CJK-A]
㕠	[冫隹又,shuāng,CJK-A]
㕡	[谷又,hé,CJK-A]
㕢	[貝又,gài_hài,CJK-A]
㕣	[八口,yǎn,CJK-A]
㕤	[口九,qiú,CJK-A]
㕥	[口人,shēn,CJK-A]
㕦	[口大,huà,CJK-A]
㕧	[口尸,xī,CJK-A]
㕨	[口几丶,fàn,CJK-A]
㕩	[口丰,pàng,CJK-A]
㕪	[口冖儿,dǎn,CJK-A]
